Date,Close,High,Low,Open,Volume,returns,volatility,arima_pred
2019-12-04,12043.2001953125,12054.7001953125,11935.2998046875,11969.9501953125,747200,0.0040769856204158,0.0052888816869987,0.0005563932175386263
2019-12-05,12018.400390625,12081.2001953125,11998.75,12071.25,562200,-0.0020613602474655,0.0052898324978725,0.0002597896006777427
2019-12-06,11921.5,12057.0498046875,11888.849609375,12047.349609375,609200,-0.0080953486219982,0.0055280641550221,0.0005094752815012541
2019-12-09,11937.5,11981.9501953125,11888.0498046875,11939.099609375,599100,0.0013412131605239,0.005463900951138,0.0006350963604901032
2019-12-10,11856.7998046875,11953.2001953125,11844.7001953125,11950.5,650200,-0.0067831796188954,0.0053319050751611,0.0003243835393235389
2019-12-11,11910.150390625,11923.2001953125,11832.2998046875,11867.349609375,997700,0.0044894843560396,0.0054287539296535,0.000636733321674008
2019-12-12,11971.7998046875,12005.5,11934.0,11944.2998046875,752600,0.0051628573460297,0.0053502918778022,0.00022963763412829071
2019-12-13,12086.7001953125,12098.849609375,12023.599609375,12026.400390625,597700,0.0095518227839611,0.0056883086918629,0.0002995719862393742
2019-12-16,12053.9501953125,12134.650390625,12046.2998046875,12131.349609375,437700,-0.0027132674192033,0.0057340107456668,0.00015251123022714885
2019-12-17,12165.0,12182.75,12070.349609375,12082.4501953125,499600,0.0091705529807056,0.0060135576410862,0.0005527681065444115
2019-12-18,12221.650390625,12237.7001953125,12163.4501953125,12197.0,518900,0.0046460249046105,0.0060129267313427,0.0001078896397631865
2019-12-19,12259.7001953125,12268.349609375,12191.150390625,12223.400390625,623100,0.0031084751792857,0.0059680616454571,0.0003420185871691927
2019-12-20,12271.7998046875,12293.900390625,12252.75,12266.4501953125,810700,0.0009864549951019,0.0059114537334245,0.0003362827005039334
2019-12-23,12262.75,12287.150390625,12213.25,12235.4501953125,604800,-0.000737719270985,0.0057848767354754,0.00040116954745089597
2019-12-24,12214.5498046875,12283.7001953125,12202.099609375,12269.25,470300,-0.0039383639534341,0.005203068105836,0.0004384949163340131
2019-12-26,12126.5498046875,12221.5498046875,12118.849609375,12211.849609375,520300,-0.0072306004913641,0.0054249619311231,0.0005261855779651479
2019-12-27,12245.7998046875,12258.4501953125,12157.900390625,12172.900390625,383800,0.009785757510884,0.0057136999834138,0.0006054723857050887
2019-12-30,12255.849609375,12286.4501953125,12213.7998046875,12274.900390625,411100,0.0008203370378256,0.0056548688406045,7.777860256474536e-05
2019-12-31,12168.4501953125,12247.099609375,12151.7998046875,12247.099609375,426900,-0.007156789574995,0.0056055253908317,0.0004633766013400244
2020-01-01,12182.5,12222.2001953125,12165.2998046875,12202.150390625,304100,0.0011539431631088,0.0056017631568708,0.000617164051261797
2020-01-02,12282.2001953125,12289.900390625,12195.25,12198.5498046875,407700,0.0081505799340132,0.0057135352859439,0.0003339676008148716
2020-01-03,12226.650390625,12265.599609375,12191.349609375,12261.099609375,428800,-0.0045330481423355,0.0057997552388545,0.00018690534960073526
2020-01-06,11993.0498046875,12179.099609375,11974.2001953125,12170.599609375,396500,-0.0192907284731414,0.0072501626549401,0.0005997101028455592
2020-01-07,12052.9501953125,12152.150390625,12005.349609375,12079.099609375,447800,0.0049821604032702,0.0070889718299651,0.0009507520406656603
2020-01-08,12025.349609375,12044.9501953125,11929.599609375,11939.099609375,446000,-0.0022925703434345,0.0071122911949229,0.00014535086618822768
2020-01-09,12215.900390625,12224.0498046875,12132.5498046875,12153.150390625,477500,0.0157215247601045,0.0076583816981453,0.0005417409705134493
2020-01-10,12256.7998046875,12311.2001953125,12213.2001953125,12271.0,660600,0.003342455210374,0.0076394682344641,-8.606390135922098e-05
2020-01-13,12329.5498046875,12337.75,12285.7998046875,12296.7001953125,501000,0.0059179352344971,0.0076599806124303,0.000424035823223726
2020-01-14,12362.2998046875,12374.25,12308.7001953125,12333.099609375,616300,0.0026526987425187,0.007437694729334,0.0002338998119069215
2020-01-15,12343.2998046875,12355.150390625,12278.75,12349.400390625,684400,-0.0015381131440847,0.0074121553995732,0.0003738816754797492
2020-01-16,12355.5,12389.0498046875,12315.7998046875,12347.099609375,395700,0.00098791814997,0.0071797466910298,0.000468531218740111
2020-01-17,12352.349609375,12385.4501953125,12321.400390625,12328.400390625,502100,-0.0002550113176078,0.0071258812518728,0.00037184887040098835
2020-01-20,12224.5498046875,12430.5,12216.900390625,12430.5,491600,-0.010400087859252,0.0074801687656362,0.00043051451572692325
2020-01-21,12169.849609375,12230.0498046875,12162.2998046875,12195.2998046875,400,-0.0044846594550091,0.0075341757627069,0.0007216713507143346
2020-01-22,12106.900390625,12225.0498046875,12087.900390625,12218.349609375,500,-0.0051859791637364,0.0076064111163411,0.0004798744120927684
2020-01-23,12180.349609375,12189.0,12094.099609375,12123.75,867700,0.0060483951593072,0.0076994750021312,0.0005544279489107537
2020-01-24,12248.25,12272.150390625,12149.650390625,12174.5498046875,593200,0.0055591042118478,0.0076153999246572,0.00020112284241573431
2020-01-27,12119.0,12216.599609375,12107.0,12197.099609375,441200,-0.0106086006564749,0.0076689541500387,0.00029400523901568866
2020-01-28,12055.7998046875,12163.5498046875,12024.5,12148.099609375,478500,-0.0052286132506335,0.0077304073907855,0.000758142502415679
2020-01-29,12129.5,12169.599609375,12103.7998046875,12114.900390625,514400,0.0060946462552533,0.0077250150305431,0.000494103873663954
2020-01-30,12035.7998046875,12150.2998046875,12010.599609375,12147.75,538100,-0.0077549764050795,0.0078924822353008,0.00021309063631649096
2020-01-31,11962.099609375,12103.5498046875,11945.849609375,12100.400390625,771300,-0.0061422398476357,0.0077165461188721,0.0006905049957345909
2020-02-03,11707.900390625,11749.849609375,11614.5,11627.4501953125,669800,-0.0214794247492997,0.0088753113022394,0.0005364673246559541
2020-02-04,11979.650390625,11986.150390625,11783.400390625,11786.25,560400,0.0229455485200191,0.0095373829902514,0.0010303685190122096
2020-02-05,12089.150390625,12098.150390625,11953.349609375,12005.849609375,758000,0.009098978920125,0.0096871931541464,-0.00041080736465794605
2020-02-06,12137.9501953125,12160.599609375,12084.650390625,12120.0,565100,0.0040285357723643,0.0097059244159771,0.0003233490743541529
2020-02-07,12098.349609375,12154.7001953125,12073.9501953125,12151.150390625,473500,-0.0032678768209591,0.0090755059585189,0.0003128327717615128
2020-02-10,12031.5,12103.5498046875,11990.75,12102.349609375,524700,-0.0055408368875527,0.0090963913874687,0.0005339034645772565
2020-02-11,12107.900390625,12172.2998046875,12099.0,12108.400390625,480000,0.0063299538920958,0.0091122253168151,0.0005531055946433354
2020-02-12,12201.2001953125,12231.75,12144.2998046875,12151.0,411700,0.0076761591804553,0.0092736639784237,0.00019297459842103234
2020-02-13,12174.650390625,12225.650390625,12139.7998046875,12219.5498046875,501200,-0.0021783703582191,0.0092778688608355,0.00023234087720252816
2020-02-14,12113.4501953125,12246.7001953125,12091.2001953125,12190.150390625,622800,-0.0050395315698233,0.0093176460092981,0.00051905970599501
2020-02-17,12045.7998046875,12159.599609375,12037.0,12131.7998046875,0,-0.0056003863896707,0.0093707978936322,0.0005413627945010178
2020-02-18,11992.5,12030.75,11908.0498046875,12028.25,676900,-0.0044345808537079,0.0091660343289338,0.0005532395315869312
2020-02-19,12125.900390625,12134.7001953125,12042.099609375,12090.599609375,513600,0.0110622386930189,0.0094853868571309,0.0005156600537401122
2020-02-20,12080.849609375,12152.0,12071.4501953125,12119.0,502600,-0.0037221711517002,0.0094520203825118,5.939277270116549e-05
2020-02-24,11829.400390625,12012.5498046875,11813.400390625,12012.5498046875,490800,-0.0210335307220503,0.0103734253182345,0.0006036288187494998
2020-02-25,11797.900390625,11883.0498046875,11779.900390625,11877.5,461000,-0.0026664085715663,0.0102524152050765,0.0010021328235001869
2020-02-26,11678.5,11783.25,11639.599609375,11738.5498046875,567600,-0.0101720381463894,0.01023405290659,0.0003632764164658709
2020-02-27,11633.2998046875,11663.849609375,11536.7001953125,11661.25,608600,-0.0038778860778288,0.0102154109416891,0.0007297195250077343
2020-02-28,11201.75,11384.7998046875,11175.0498046875,11382.0,809900,-0.0378016423222764,0.0127240244514051,0.00045990198184368375
2020-03-02,11132.75,11433.0,11036.25,11387.349609375,680800,-0.0061788013630017,0.0127040939626497,0.0015366498657406558
2020-03-03,11303.2998046875,11342.25,11152.5498046875,11217.5498046875,696500,0.0152034864709549,0.0133382129639169,0.00035024620072156824
2020-03-04,11251.0,11356.599609375,11082.150390625,11351.349609375,797700,-0.0046376876143074,0.0126405241372848,-2.8140800854475738e-05
2020-03-05,11269.0,11389.5,11244.599609375,11306.0498046875,1352500,0.0015985793812774,0.0113337670218474,0.0006504534633638692
2020-03-06,10989.4501953125,11035.099609375,10827.400390625,10942.650390625,1811000,-0.0251198535301779,0.011962955784833,0.0003132681219049059
2020-03-09,10451.4501953125,10751.5498046875,10294.4501953125,10742.0498046875,1565500,-0.0501949959864756,0.0153834771056211,0.0011889178888094996
2020-03-11,10458.400390625,10545.099609375,10334.0,10334.2998046875,1218500,0.0006647771623133,0.0154565250415041,0.0017468085765354956
2020-03-12,9590.150390625,10040.75,9508.0,10039.9501953125,1343500,-0.0866689498179394,0.0232594113484616,9.855494973390252e-05
2020-03-13,9955.2001953125,10159.400390625,8555.150390625,9107.599609375,1388000,0.0373584765423917,0.0252981590331498,0.0030816601245442533
2020-03-16,9197.400390625,9602.2001953125,9165.099609375,9587.7998046875,897700,-0.0791741694511037,0.0291814379591461,-0.0012970086689022282
2020-03-17,8967.0498046875,9403.7998046875,8915.599609375,9285.400390625,935600,-0.025364151715096,0.0291719589832508,0.0031659165671297958
